Step,Generator,Discriminator,Real,Fake
0,-0.396994,10.0029,-0.366549,0.396994
1,0.0686345,9.98038,0.056649,-0.0686345
2,0.788825,9.90761,0.743808,-0.788825
3,2.12293,9.85897,2.0953,-2.12293
4,4.68578,9.3617,4.44464,-4.68578
5,5.93174,10.0349,6.60034,-5.93174
6,10.9323,8.98193,10.3526,-10.9323
7,10.8884,7.06986,10.1938,-10.8884
8,14.5268,5.20844,13.9452,-14.5268
9,22.411,4.36959,20.0914,-22.411
10,17.6174,1.18324,15.5943,-17.6174
11,8.88748,3.74405,9.28191,-8.88748
12,15.7607,1.24163,13.9058,-15.7607
13,17.3134,4.25105,17.4084,-17.3134
14,24.7263,5.07856,26.5296,-24.7263
15,29.0371,0.0254238,25.4948,-29.0371
16,30.9644,-1.96848,26.3752,-30.9644
17,27.7295,2.43605,27.6084,-27.7295
18,29.6124,2.34862,29.577,-29.6124
19,28.3997,1.72179,27.7248,-28.3997
20,35.1319,-5.11425,28.4205,-35.1319
21,21.5185,2.32843,21.3016,-21.5185
22,33.8837,-2.21639,29.9029,-33.8837
23,25.9311,-0.696161,23.3042,-25.9311
24,35.9581,2.65233,34.2457,-35.9581
25,19.0323,4.04885,19.4307,-19.0323
26,25.9146,0.654263,24.9028,-25.9146
27,32.2859,-2.6824,28.0538,-32.2859
28,31.9618,-1.91777,28.419,-31.9618
29,29.0596,1.69116,28.8983,-29.0596
30,28.0898,-1.63277,24.9891,-28.0898
31,37.0521,-3.69491,31.9682,-37.0521
32,34.252,0.85297,32.3154,-34.252
33,29.2573,2.40326,29.466,-29.2573
34,35.0309,-1.43869,32.1267,-35.0309
35,36.0304,-4.3127,30.287,-36.0304
36,41.9074,-3.48204,36.4958,-41.9074
37,44.5669,-7.76494,35.5081,-44.5669
38,40.9301,-8.77738,30.7244,-40.9301
39,45.4122,-6.97781,37.1072,-45.4122
40,42.7084,-7.86884,33.6707,-42.7084
41,38.6285,-3.50388,33.3146,-38.6285
42,40.8352,-5.28469,34.205,-40.8352
43,49.3132,-8.48793,39.4909,-49.3132
44,56.5418,-11.6481,43.3953,-56.5418
45,46.5713,-7.56088,37.6921,-46.5713
46,52.3871,-13.3324,37.6224,-52.3871
47,50.5665,-7.537,41.4494,-50.5665
48,47.1186,-10.8843,34.7019,-47.1186
49,55.895,-10.4689,43.9534,-55.895
50,56.4568,-15.484,39.7893,-56.4568
51,54.7733,-11.5037,41.9392,-54.7733
52,53.4571,-15.4621,36.263,-53.4571
53,55.5705,-17.1552,37.047,-55.5705
54,56.0331,-17.5307,36.9793,-56.0331
55,58.2791,-18.1565,38.3239,-58.2791
56,57.9104,-16.1693,40.4891,-57.9104
57,51.3511,-9.00323,41.0971,-51.3511
58,59.1822,-14.3324,43.3141,-59.1822
59,53.9794,-15.7081,36.5061,-53.9794
60,56.9756,-10.2585,45.3454,-56.9756
61,62.863,-19.9482,40.749,-62.863
62,61.836,-17.1272,43.3893,-61.836
63,57.6563,-13.2605,41.4768,-57.6563
64,62.5114,-22.2176,38.1033,-62.5114
65,61.4987,-15.2107,44.7693,-61.4987
66,58.9803,-2.37098,55.0215,-58.9803
67,54.5353,-10.3778,42.7936,-54.5353
68,66.2956,-21.8378,42.858,-66.2956
69,66.6254,-18.531,46.6485,-66.6254
70,68.1968,-21.107,44.8639,-68.1968
71,68.0902,-19.7331,46.2942,-68.0902
72,73.8772,-21.1551,51.0541,-73.8772
73,71.7504,-23.5416,46.4287,-71.7504
74,69.1083,-27.7024,39.0701,-69.1083
75,66.6154,-18.065,46.6912,-66.6154
76,71.3923,-17.703,52.0751,-71.3923
77,74.772,-28.2342,42.5923,-74.772
78,72.8287,-33.5174,36.459,-72.8287
79,73.4611,-23.623,47.69,-73.4611
80,74.6871,-28.5046,43.8678,-74.6871
81,79.8448,-31.8034,45.6166,-79.8448
82,73.3781,-26.2516,44.5357,-73.3781
83,76.9648,-27.799,47.2827,-76.9648
84,77.489,-19.1422,56.9391,-77.489
85,79.9475,-28.0924,49.8898,-79.9475
86,75.2107,-25.6325,46.2434,-75.2107
87,74.1345,-17.7247,54.6441,-74.1345
88,76.0148,-27.5743,44.4721,-76.0148
89,72.0587,-22.1194,47.91,-72.0587
90,72.28,-18.3895,50.0599,-72.28
91,66.4191,-11.9786,50.3644,-66.4191
92,67.1604,-19.6414,44.2853,-67.1604
93,74.3879,-18.3118,52.9641,-74.3879
94,78.9435,-22.3003,54.025,-78.9435
95,78.0918,-22.5816,52.6881,-78.0918
96,78.8806,-21.7588,55.4814,-78.8806
97,75.8002,-22.2304,51.2018,-75.8002
98,78.6114,-25.0744,50.6707,-78.6114
99,73.2405,-24.7655,41.4466,-73.2405
100,74.096,-21.2156,49.7453,-74.096
101,79.965,-21.3485,57.1767,-79.965
102,73.7481,-30.3826,38.5601,-73.7481
103,78.4328,-25.7947,47.7183,-78.4328
104,78.8359,-23.0456,54.4673,-78.8359
105,76.6792,-22.2573,48.0747,-76.6792
106,77.6837,-28.8372,46.141,-77.6837
107,82.9265,-31.2783,48.9398,-82.9265
108,76.596,-25.8592,48.0116,-76.596
109,79.5132,-31.4746,43.6948,-79.5132
110,81.5271,-23.9811,56.5016,-81.5271
111,81.7105,-23.4794,56.881,-81.7105
112,79.6791,-27.3199,48.921,-79.6791
113,77.2522,-27.4861,47.2185,-77.2522
114,75.9317,-23.95,50.4442,-75.9317
115,85.3918,-28.2057,55.4712,-85.3918
116,82.0052,-24.7949,56.1405,-82.0052
117,86.057,-23.2069,61.6572,-86.057
118,82.2836,-33.4312,46.6444,-82.2836
119,79.6362,-25.465,53.0466,-79.6362
120,75.1522,-28.6999,39.1093,-75.1522
121,82.6125,-28.2128,52.5097,-82.6125
122,78.9115,-20.6301,56.7284,-78.9115
123,85.3446,-36.3735,47.9229,-85.3446
124,83.5132,-34.5237,47.0092,-83.5132
125,76.6956,-32.2052,39.5034,-76.6956
126,80.1395,-32.8113,44.737,-80.1395
127,81.9775,-25.1225,55.5701,-81.9775
128,82.815,-33.6248,47.9599,-82.815
129,79.8593,-37.7438,39.757,-79.8593
130,80.5043,-33.3546,44.7627,-80.5043
131,84.9005,-33.97,48.2819,-84.9005
132,82.1389,-27.5917,53.3543,-82.1389
133,86.4276,-28.9959,55.8717,-86.4276
134,76.5915,-32.9856,38.0094,-76.5915
135,85.8155,-41.7057,41.4567,-85.8155
136,78.1352,-38.718,31.9853,-78.1352
137,82.876,-38.748,41.4999,-82.876
138,81.5802,-26.4314,53.46,-81.5802
139,85.6958,-44.7694,38.918,-85.6958
140,82.3767,-28.4417,52.1603,-82.3767
141,80.7007,-38.0062,34.6624,-80.7007
142,75.7907,-36.7003,32.9295,-75.7907
143,83.2675,-36.0397,42.2512,-83.2675
144,78.8455,-36.936,38.3397,-78.8455
145,79.053,-19.529,58.3042,-79.053
146,82.5296,-20.5219,60.6539,-82.5296
147,86.2606,-42.4616,40.8627,-86.2606
148,75.9479,-34.2867,37.3356,-75.9479
149,85.7647,-46.2515,32.9824,-85.7647
150,85.4991,-34.4262,48.7124,-85.4991
151,81.2785,-40.9365,37.6358,-81.2785
152,81.1627,-36.9664,37.127,-81.1627
153,84.9576,-33.3779,50.289,-84.9576
154,78.552,-25.2612,51.1745,-78.552
155,83.0041,-32.8968,48.5856,-83.0041
156,78.1744,-33.4398,42.7311,-78.1744
157,82.7569,-30.4381,50.316,-82.7569
158,77.7745,-37.1992,35.7287,-77.7745
159,85.635,-47.7244,33.7954,-85.635
160,77.8254,-28.7698,47.4088,-77.8254
161,80.8946,-24.1479,55.4455,-80.8946
162,84.8948,-36.6719,42.5391,-84.8948
163,86.3943,-42.0714,40.087,-86.3943
164,81.5845,-23.2921,54.7751,-81.5845
165,81.4187,-16.8441,63.2274,-81.4187
166,85.9035,-47.1189,34.139,-85.9035
167,80.0732,-26.6856,51.7948,-80.0732
168,81.492,-37.2104,35.4551,-81.492
169,84.1765,-47.128,32.2307,-84.1765
